starttime	seconds	ctime	dtime	ttime	wait
Sat Oct 12 20:34:28 2019	1570908868	1831	985	2817	188
Sat Oct 12 20:34:19 2019	1570908859	1509	1333	2842	255
Sat Oct 12 20:34:25 2019	1570908865	1659	1488	3147	287
Sat Oct 12 20:34:25 2019	1570908865	1414	1914	3329	429
Sat Oct 12 20:34:26 2019	1570908866	1446	2050	3496	931
Sat Oct 12 20:34:25 2019	1570908865	1848	1994	3841	500
Sat Oct 12 20:34:21 2019	1570908861	1486	2772	4258	1048
Sat Oct 12 20:34:21 2019	1570908861	1486	2775	4261	1054
Sat Oct 12 20:34:22 2019	1570908862	1996	2654	4650	1187
Sat Oct 12 20:34:21 2019	1570908861	1486	3280	4766	1054
