Percentage served,Time in ms
0,1069.464
1,1069.464
2,1069.464
3,1069.464
4,1069.464
5,1343.371
6,1343.371
7,1343.371
8,1343.371
9,1343.371
10,1343.371
11,1343.371
12,1343.371
13,1343.371
14,1343.371
15,1343.571
16,1343.571
17,1343.571
18,1343.571
19,1343.571
20,1343.571
21,1343.571
22,1343.571
23,1343.571
24,1343.571
25,1343.638
26,1343.638
27,1343.638
28,1343.638
29,1343.638
30,1343.638
31,1343.638
32,1343.638
33,1343.638
34,1343.638
35,1343.694
36,1343.694
37,1343.694
38,1343.694
39,1343.694
40,1343.694
41,1343.694
42,1343.694
43,1343.694
44,1343.694
45,1360.463
46,1360.463
47,1360.463
48,1360.463
49,1360.463
50,1360.463
51,1360.463
52,1360.463
53,1360.463
54,1360.463
55,1434.064
56,1434.064
57,1434.064
58,1434.064
59,1434.064
60,1434.064
61,1434.064
62,1434.064
63,1434.064
64,1434.064
65,1637.328
66,1637.328
67,1637.328
68,1637.328
69,1637.328
70,1637.328
71,1637.328
72,1637.328
73,1637.328
74,1637.328
75,1637.840
76,1637.840
77,1637.840
78,1637.840
79,1637.840
80,1637.840
81,1637.840
82,1637.840
83,1637.840
84,1637.840
85,1638.062
86,1638.062
87,1638.062
88,1638.062
89,1638.062
90,1638.062
91,1638.062
92,1638.062
93,1638.062
94,1638.062
95,94841176240.896
96,94841176240.896
97,94841176240.896
98,94841176240.896
99,94841176240.896
100,1638.062
